sample,sync_method,drop_smooth_window,sync_search_min,sync_search_max,sync_search_steps,signature_force_weight,signature_stroke_weight,signature_smooth_window,force_threshold,stroke_threshold,video_change_threshold_px,baseline_frames,min_consecutive
C25,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C3,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C4,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C5,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C6,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C7,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C8,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C9,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D1,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D10,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D11,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D12,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D14,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D16,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D17,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D18,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D19,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D2,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D21,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D22,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
